"","coefs.Estimate","coefs.Std..Error","coefs.z.value","coefs.Pr...z..","coefs.rep","preds.covariate_level","preds.predicted","preds.std.error","preds.conf.low","preds.conf.high","preds.group","preds.label"
"(Intercept)149",-1.10014533652429,0.235173592667874,-4.67801390472434,2.89666908143261e-06,150,"HSX:MTF",0.249712663708313,0.235173592667874,0.173492143321322,0.345424335778979,"1","original"
"reported.exposure_HSX:FTM149",-0.68603016919287,0.227169883159285,-3.01989929145602,0.00252858748116643,150,"HSX:FTM",0.143542258017384,0.279870791853487,0.088288625806197,0.224847248358315,"1","original"
"reported.exposure_HSX:nodirection149",0.247629609360658,0.548098122569941,0.451797952161493,0.651414545122554,150,"HSX:nodirection",0.298905392763389,0.571030558875752,0.122204792121623,0.566278553713935,"1","original"
"reported.exposure_MSM149",0.253392727661369,0.182864282764107,1.38568737334148,0.1658423854171,150,"MSM",0.300114515305191,0.210852228439556,0.220971244191529,0.39329329981495,"1","original"
"reported.exposure_MTC:IntraP149",0.108574588100663,0.362819235656171,0.299252568305265,0.764747342175466,150,"MTC:IntraP",0.270601937091182,0.400581138848466,0.144711670829301,0.448570993266555,"1","original"
"reported.exposure_MTC:notiming149",-0.363915844957229,0.455776405762073,-0.798452575334059,0.42460790368473,150,"MTC:notiming",0.187846963823711,0.441456701655791,0.088725210362871,0.354613260301703,"1","original"
"reported.exposure_MTC:PostP149",-0.748993112742439,1.17792655842349,-0.635857225042005,0.524869484940357,150,"MTC:PostP",0.13597408467013,1.18310204478282,0.0152474840585377,0.615312499074165,"1","original"
"reported.exposure_MTC:PreP149",-0.504945047050249,0.35288586804749,-1.43090186593218,0.152458342217589,150,"MTC:PreP",0.167271365482116,0.421555709177888,0.0808150315678052,0.314566415517153,"1","original"
"reported.exposure_PWID149",0.689521269430093,0.298819561008233,2.30748371058311,0.021027869308454,150,"PWID",0.398762491013838,0.315633987513336,0.26322850237194,0.551815106137149,"1","original"
"(Intercept)150",-1.11343203701655,0.23236595878387,-4.79171752542369,1.65359607245442e-06,151,"HSX:MTF",0.247231604582726,0.23236595878387,0.172378833310185,0.341188324017748,"1","original"
"reported.exposure_HSX:FTM150",-0.596934277449542,0.22375375810488,-2.66781788384417,0.00763456286501361,151,"HSX:FTM",0.153116209133044,0.273471773215979,0.0956638079301382,0.236065726404657,"1","original"
"reported.exposure_HSX:nodirection150",0.504484252393297,0.521545432247328,0.96728726051628,0.333400450446999,151,"HSX:nodirection",0.352299259818998,0.541286650793032,0.158444162030627,0.611103846588063,"1","original"
"reported.exposure_MSM150",0.278437007533935,0.180089564939141,1.54610294954085,0.122079706579307,151,"MSM",0.302589934527725,0.208193234251262,0.223906183417293,0.394856362297879,"1","original"
"reported.exposure_MTC:IntraP150",0.0808235411827592,0.353987052473455,0.228323439001544,0.819394804066218,151,"MTC:IntraP",0.262578705460411,0.393327587336006,0.141423554554773,0.434945711424075,"1","original"
"reported.exposure_MTC:notiming150",-0.18230263799322,0.453421842662363,-0.40205967344403,0.687640110141582,151,"MTC:notiming",0.214883739330347,0.439081646963112,0.103742221377269,0.392897122116173,"1","original"
"reported.exposure_MTC:PostP150",-0.651654327083759,1.1884900561623,-0.548304399944233,0.583482906718235,151,"MTC:PostP",0.146154452404483,1.19478263533438,0.0161935319503455,0.640294957145285,"1","original"
"reported.exposure_MTC:PreP150",-0.540550482279907,0.342666343414683,-1.57748344028568,0.114684329484567,151,"MTC:PreP",0.160571426892463,0.411619239233673,0.0786565910679607,0.300015587551221,"1","original"
"reported.exposure_PWID150",0.582897791609431,0.294178377712101,1.98144335468423,0.0475415758652359,151,"PWID",0.370392292395189,0.313659283854944,0.241349492938353,0.521044224191375,"1","original"
"(Intercept)151",-1.28469767084039,0.247264304871871,-5.19564549159695,2.04010707651251e-07,152,"HSX:MTF",0.216751637147396,0.247264304871871,0.14562606752604,0.310010857985917,"1","original"
"reported.exposure_HSX:FTM151",-0.609318073955006,0.226706421546227,-2.68769658044628,0.00719467393784688,152,"HSX:FTM",0.130787274433941,0.287487108872366,0.0788932601079683,0.209068177538487,"1","original"
"reported.exposure_HSX:nodirection151",0.266328165839052,0.547702877033,0.486263952604736,0.626780033604003,152,"HSX:nodirection",0.265345122849453,0.569729293301003,0.10573951860232,0.524550090434962,"1","original"
